id,name
0,小戏骨：放开那三国
1,绝世高手
2,东北往事之破马张飞
3,西游伏妖篇
4,神奇女侠
5,功夫瑜伽
6,长城
7,三生三世十里桃花
8,目击者之追凶
9,爱，不爱
10,战场上的小人球
11,鲛珠传
12,大护法
13,海滩游侠
14,春娇救志明
15,乘风破浪
16,京城81号2
17,你的名字。
18,比海更深
19,蜘蛛侠：英雄归来
20,变形金刚5：最后的骑士
21,新木乃伊
22,青禾男高
23,金刚：骷髅岛
24,金刚狼3：殊死一战
25,情圣
26,太空旅客
27,星球大战外传：侠盗一号
28,血战钢锯岭
29,驴得水
30,比利·林恩的中场战事
31,思悼
32,老炮儿
33,房间
34,聚焦
35,路边野餐
36,碟中谍5：神秘国度
37,摔跤吧！爸爸
38,隧道
39,哭声
40,妻子小姐
41,辩护人
42,回家的路
43,我妻子的一切
44,阳光姐妹淘
45,我的黑色小礼服
46,黄海
47,失眠
48,死亡笔记
49,抓住那个家伙
50,疾速特攻
51,救命解药
52,生存家族
53,小楼的奇幻生活
54,太秦灯光下
55,生命如此美好
56,奇特的故事
57,杀人优越权
58,军舰岛
59,悟空传
60,西谎极落之太爆太子太空舱
61,仓皇一夜
62,三个老枪手
63,救僵清道夫
64,宝贝老板
65,酒吧
66,希望的另一面
67,猪肉馅饼
68,安娜贝尔2：诞生
69,午夜凶铃3(美版)
70,逃出绝命镇
71,分裂
72,天赐之女
73,无名女尸
74,一天
75,记忆大师
76,忽然七日
77,你好，疯子！
78,BLAME!
79,明日的我与昨日的你约会
80,在这世界的角落
81,溺水小刀
82,请和我的妻子结婚
83,金牌男人
84,恶魔蛙男
85,怒
86,愚行录
87,早死早投胎之地狱摇滚篇
88,请叫我英雄
89,家族之苦
90,再见
91,猎杀星期一
92,哀乐女子天团
93,死于独特
94,加勒比海盗5：死无对证
95,末日重启
96,勒索风云
97,生死之墙
98,真实
99,之后
100,玉子
101,巴霍巴利王(下)：终结
102,那些爱人
103,蚯蚓
104,天才少女
105,速度与激情8
106,空难余波
107,他们先杀了我父亲：一个柬埔寨女儿的回忆录
108,独自在夜晚的海边
109,肌肤
110,五十度黑
111,猜火车2
112,莫斯科陷落
113,最后的话
114,骨瘦如柴
115,鬼魅浮生
116,大病
117,爱有来世
118,王者
119,金矿
120,隐藏人物
121,怪兽卡车
122,潘多拉
123,黑夜传说5：血战
124,潘菲洛夫28勇士
125,突然20岁
126,哥
127,被掩盖的时间
128,斯隆女士
129,流浪猫鲍勃
130,伦敦一家人
131,会计刺客
132,幸运钥匙
133,二十世纪女人
134,火车上的女孩
135,尊严殖民地
136,炙热
137,误杀瞒天记
138,小萝莉的猴神大叔
139,老笠
140,季春奶奶
141,小姐
142,男与女
143,摩天楼
144,邻居
145,绣春刀II：修罗战场
146,原谅他77次
147,三少爷的剑
148,湄公河行动
149,我的少女时代
150,滚蛋吧！肿瘤君
151,诚实国度的爱丽丝
152,7号房的礼物
153,我爱你
154,喜欢你
155,蚁人
156,釜山行
157,从你的全世界路过
158,青年警察
159,乐高蝙蝠侠大电影
160,梅根·利维
161,沉默
162,逆时营救
163,我是路人甲
164,那年夏天你去了哪里
165,声之形
166,黑执事：大西洋之书
167,王牌保镖
168,喵星人
169,反转人生
170,父子雄兵
171,闪光少女
172,神偷奶爸3
173,李雷和韩梅梅
174,美好的意外
175,有完没完
176,异形：契约
177,异星觉醒
178,致命邻居
179,夏天19岁的肖像
